mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_47998,O=CC#CC1NC1C#N,3.1884,0.81811,0.68296,5.2689,76.23,-0.276,-0.0779,0.198,1536.225,0.087848,-415.556589,-415.547849,-415.546905,-415.591837,29.286
gdb_82240,CC1C2OC2C2CCC12,2.49891,1.8469,1.37865,1.7357,80.46,-0.2519,0.0814,0.3333,1025.3787,0.184554,-387.077518,-387.069804,-387.06886,-387.109409,31.17
gdb_10336,COC(C=O)C(C)O,2.35684,1.74283,1.08466,2.5701,65.19,-0.2421,-0.0289,0.2132,1101.7221,0.149467,-422.068714,-422.05869,-422.057746,-422.10438,34.081
gdb_116764,COC=NCC(N)C#N,4.94611,0.59499,0.55127,6.0816,79.07,-0.2514,-0.0038,0.2477,1953.8524,0.146162,-435.260337,-435.249878,-435.248933,-435.297426,35.231
gdb_105134,COC1(CC1C#C)C#C,2.55281,1.23863,1.0044,1.5674,83.69,-0.2402,0.0209,0.2612,1232.9278,0.131554,-384.590827,-384.581118,-384.580174,-384.625201,35.75
gdb_125012,Cc1c(c(n[nH]1)C#N)N,3.36988,1.28989,0.93978,6.5686,76.43,-0.2184,-0.0218,0.1967,1179.3225,0.114327,-413.028106,-413.019427,-413.018482,-413.061623,31.037
gdb_115234,OCC1CCC(=O)CN1,3.73014,0.97687,0.82044,1.2026,75.71,-0.226,-0.024,0.2019,1383.9248,0.172617,-440.303545,-440.294865,-440.293921,-440.337181,33.027
gdb_108150,OCC12OC3CCC1C23,3.44265,1.3121,1.25365,2.1488,74.05,-0.2287,0.0659,0.2945,1083.4976,0.160654,-422.99196,-422.984235,-422.983291,-423.024435,30.328
gdb_83341,CC1C2OCC1(C)C2O,2.07997,1.64142,1.50155,0.9353,77.72,-0.2291,0.0663,0.2954,1061.5022,0.182286,-424.206799,-424.197922,-424.196978,-424.239517,34.838
gdb_89384,CC1OC2(C)CC2(C)O1,2.53679,1.51918,1.18388,1.1838,78.86,-0.2337,0.0842,0.3179,1157.0081,0.1801,-424.229383,-424.220022,-424.219078,-424.262843,35.947
gdb_92181,CC1OC2CN3C2CC13,2.71959,1.87033,1.66276,0.4002,77.31,-0.2151,0.0832,0.2983,933.2314,0.173776,-403.096252,-403.089252,-403.088307,-403.127191,29.351
gdb_27044,NC1=C(OC(=N)O1)C=O,2.52444,1.48624,0.93608,7.3669,68.75,-0.223,-0.0486,0.1744,1143.9694,0.088576,-489.909692,-489.901771,-489.900827,-489.942319,28.979
gdb_116341,OCC1CCOC2CC12,2.93451,1.2337,0.96113,1.9799,78.02,-0.2374,0.0756,0.3129,1254.6439,0.183869,-424.208673,-424.200086,-424.199142,-424.24191,33.26
gdb_64540,OC1(C=O)C2C3NC3C12,3.72405,1.39828,1.18589,4.4028,68.8,-0.227,-0.0264,0.2006,1021.8532,0.123236,-437.798117,-437.790733,-437.789789,-437.829867,29.24
gdb_76538,OC1C(O)C11CNC1=O,2.78683,1.21587,1.17212,3.2374,66.82,-0.2382,0.0306,0.2688,1112.4201,0.123306,-475.007209,-474.9984,-474.997456,-475.041063,31.9
gdb_107148,CCC12CC3(CN3)C1N2,4.24369,1.00022,0.94404,2.5461,83.54,-0.2359,0.0764,0.3123,1345.0829,0.183159,-383.205972,-383.197209,-383.196264,-383.239555,33.792
gdb_38259,C1C2CC11CCOCC21,3.07755,1.61508,1.33475,1.1567,82.31,-0.243,0.0914,0.3344,1028.4868,0.186477,-387.039286,-387.032446,-387.031502,-387.070079,29.46
gdb_126395,CCc1c(cn(n1)C)N,2.64925,1.24274,0.90902,2.4067,84.59,-0.1881,0.0323,0.2204,1343.7407,0.171402,-399.3533,-399.343299,-399.342355,-399.388848,35.6
gdb_89112,CC1CN1CCNC=O,3.74798,0.69285,0.64814,4.3392,81.26,-0.2277,0.0321,0.2599,1780.6803,0.181532,-420.401044,-420.390782,-420.389837,-420.438274,36.011
gdb_2728,COCCCCO,14.60084,0.7521,0.73158,0.3886,65.49,-0.2509,0.0796,0.3305,1530.448,0.169764,-348.039301,-348.029979,-348.029034,-348.073798,31.221
gdb_98445,CNC(=O)C1(CCC1)O,3.01542,1.20027,1.0018,3.0036,76.76,-0.239,0.0378,0.2768,1264.6044,0.169904,-440.310568,-440.300624,-440.29968,-440.346654,35.865
gdb_78873,OC1C2C3C2C2(CC2)C13,2.73876,1.79223,1.36062,1.7842,78.37,-0.2432,0.0867,0.3299,990.1125,0.160239,-385.819483,-385.812179,-385.811235,-385.850762,30.491
gdb_109469,CCN1C(=N)CN=C1C,1.99346,1.80297,1.03342,1.4676,82.7,-0.2154,0.0045,0.2198,1200.1288,0.171651,-399.373266,-399.36399,-399.363046,-399.407464,34.189
gdb_130318,c1c(c(no1)N)NC=N,3.16138,1.2845,0.91636,4.7911,71.13,-0.2138,0.001,0.2148,1193.5221,0.114657,-450.115915,-450.107866,-450.106921,-450.148756,29.936
gdb_61506,OC(CC(O)C#N)C=O,3.93077,0.80784,0.70642,4.6828,67.05,-0.2883,-0.0653,0.2231,1499.8663,0.121905,-475.033761,-475.024468,-475.023524,-475.068557,33.038
gdb_30633,CCC(=O)n1cccc1,4.43705,1.04451,0.85435,2.3619,80.91,-0.2222,-0.0296,0.1926,1342.0723,0.148344,-402.019146,-402.01066,-402.009716,-402.052801,31.399
